node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[4,3]	0.4773	0.4901	-0.5053	1.4256	1.001	22000
LOR[5,3]	0.2954	0.4984	-0.6987	1.2608	1.0009	27000
LOR[6,3]	0.6656	0.4603	-0.2604	1.5339	1.0011	12000
LOR[7,3]	0.3446	0.4447	-0.5671	1.1857	1.0012	9500
LOR[8,3]	0.2857	0.4412	-0.6215	1.1207	1.0013	5000
LOR[5,4]	-0.1819	0.3557	-0.8849	0.5243	1.0011	11000
LOR[6,4]	0.1883	0.3577	-0.5261	0.871	1.001	27000
LOR[7,4]	-0.1327	0.2984	-0.75	0.4236	1.001	19000
LOR[8,4]	-0.1916	0.2908	-0.7979	0.3486	1.0012	8500
LOR[6,5]	0.3702	0.3651	-0.3633	1.0726	1.0013	6400
LOR[7,5]	0.0492	0.3053	-0.5667	0.625	1.0014	4700
LOR[8,5]	-0.0097	0.2993	-0.624	0.5468	1.0018	2300
LOR[7,6]	-0.321	0.2867	-0.8859	0.2381	1.0014	4900
LOR[8,6]	-0.3799	0.2704	-0.9213	0.1426	1.0014	4000
LOR[8,7]	-0.0589	0.1774	-0.4146	0.2867	1.0012	7200
LOR[2,1]	-0.8334	0.4894	-1.7468	0.1444	1.0015	3700
LOR[3,1]	-0.5806	0.4603	-1.4574	0.3413	1.0023	1500
LOR[4,1]	-0.2017	0.2945	-0.7551	0.4003	1.0023	1500
LOR[5,1]	-0.4028	0.3126	-0.9935	0.2241	1.0032	900
LOR[6,1]	0.004	0.2702	-0.535	0.5209	1.0027	1100
LOR[7,1]	-0.4127	0.1765	-0.7648	-0.0708	1.0055	440
LOR[8,1]	-0.4782	0.1602	-0.8079	-0.1781	1.0021	1700
LOR[3,2]	0.2528	0.5415	-0.8238	1.3003	1.0011	11000
LOR[4,2]	0.6317	0.5333	-0.4578	1.6474	1.0018	2400
LOR[5,2]	0.4306	0.5475	-0.6665	1.4726	1.0013	5300
LOR[6,2]	0.8375	0.5025	-0.1826	1.7732	1.001	27000
LOR[7,2]	0.4208	0.4903	-0.573	1.3332	1.0015	3600
LOR[8,2]	0.3553	0.4835	-0.6221	1.246	1.0011	13000
LOR[4,3]	0.3789	0.5034	-0.621	1.3601	1.0029	1000
LOR[5,3]	0.1778	0.5139	-0.8398	1.1782	1.0021	1800
LOR[6,3]	0.5847	0.4727	-0.3671	1.4726	1.0013	5800
LOR[7,3]	0.168	0.4575	-0.7532	1.0281	1.0015	3800
LOR[8,3]	0.1024	0.4538	-0.8231	0.948	1.0016	2900
LOR[5,4]	-0.2011	0.3798	-0.9488	0.5418	1.0016	3100
LOR[6,4]	0.2057	0.3584	-0.5087	0.8866	1.0025	1300
LOR[7,4]	-0.211	0.3115	-0.8371	0.3792	1.0058	410
LOR[8,4]	-0.2765	0.3028	-0.9049	0.2824	1.0024	1400
LOR[6,5]	0.4068	0.377	-0.3434	1.1351	1.0015	3600
LOR[7,5]	-0.0099	0.3225	-0.6467	0.6004	1.0053	460
LOR[8,5]	-0.0754	0.3183	-0.7147	0.5222	1.0022	1600
LOR[7,6]	-0.4167	0.2828	-0.9727	0.1404	1.0031	940
LOR[8,6]	-0.4822	0.2676	-1.01	0.0302	1.0014	4200
LOR[8,7]	-0.0655	0.1827	-0.4331	0.2837	1.0043	590
LOR[2,1]	-0.8839	0.493	-1.8169	0.1113	1.0016	2900
LOR[3,1]	-0.625	0.4553	-1.5196	0.2745	1.0024	1400
LOR[4,1]	-0.2352	0.2971	-0.7981	0.3666	1.0024	1300
LOR[5,1]	-0.4146	0.3079	-1.0075	0.1929	1.0042	610
LOR[6,1]	-0.0363	0.2763	-0.5925	0.495	1.0066	350
LOR[7,1]	-0.4323	0.176	-0.7837	-0.0905	1.0066	360
LOR[8,1]	-0.5063	0.1601	-0.835	-0.2029	1.0048	520
LOR[3,2]	0.2589	0.5368	-0.8092	1.2937	1.001	27000
LOR[4,2]	0.6487	0.5424	-0.4478	1.6875	1.001	27000
LOR[5,2]	0.4693	0.5538	-0.6527	1.5163	1.001	25000
LOR[6,2]	0.8476	0.5031	-0.1694	1.7882	1.0012	8400
LOR[7,2]	0.4516	0.4944	-0.5649	1.3733	1.0009	27000
LOR[8,2]	0.3776	0.4883	-0.6231	1.2883	1.001	27000
LOR[4,3]	0.3898	0.5064	-0.6247	1.3743	1.0011	13000
